# creator Make-O-Matic
Trainset-ID,Experiment-ID,Subject-ID,Observer-ID,collectedByHand,Collector-ID,TimeStamp,RFID-ID,GRASP-A,GRASP-B,GRASP-C,AX,AY,AZ,EX,EY,EZ,USERINPUT,HANDINGLOVE, Parcours-ID,Parcours-Step,Mutation-ID, Mutation/HandIsActive,Host-ID,Host/Spot-ID,Gesture-ID
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,673559,000000000000,749,7,768,-0.3199999928474426,0.05000000074505806,0.20000000298023224,234.6875,5.125,-84.1875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,677151,000000000000,748,8,769,-0.3499999940395355,0.11999999731779099,0.2800000011920929,234.125,5.1875,-84.0625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,680991,000000000000,234,229,219,-1.100000023841858,0.12999999523162842,0.5199999809265137,106.1875,-3.375,-93.5,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,697524,000000000000,749,8,768,-0.10999999940395355,0.44999998807907104,0.3199999928474426,233.8125,5.25,-84,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,716024,000000000000,167,173,164,-1.2200000286102295,0.09000000357627869,0.4699999988079071,105.8125,-3.4375,-93.4375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,723575,000000000000,749,17,769,0.5699999928474426,0.8199999928474426,0.5099999904632568,233.4375,5.375,-83.875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,729773,000000000000,188,187,175,-1.2400000095367432,0.10999999940395355,0.5899999737739563,105.5,-3.5625,-93.4375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,742325,000000000000,202,209,208,-1.159999966621399,0.18000000715255737,0.5699999928474426,105.3125,-3.8125,-93.3125,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,748677,000000000000,749,13,770,1.2799999713897705,1.0199999809265137,0.4300000071525574,232.5625,5.75,-83.625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,769828,000000000000,229,220,223,-1.1299999952316284,0.05999999865889549,0.5899999737739563,105.25,-4.0625,-93.1875,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,776094,000000000000,750,10,769,1.559999942779541,1.1799999475479126,0.5,231.75,6.125,-83.4375,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,790965,000000000000,216,212,211,-0.9300000071525574,0.15000000596046448,0.49000000953674316,105.25,-4.3125,-93,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,796186,000000000000,751,11,769,2.25,1.8899999856948853,0.800000011920929,230.6875,6.6875,-83.1875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,833654,000000000000,175,184,187,-0.8399999737739563,0,0.38999998569488525,105.25,-4.75,-92.75,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,834699,000000000000,752,12,770,3.0899999141693115,2.7100000381469727,1.3700000047683716,228.375,7.9375,-82.5625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,848648,000000000000,753,11,771,2.7100000381469727,2.5999999046325684,1.2999999523162842,226.1875,9.25,-81.75,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,849598,000000000000,144,164,167,-0.8100000023841858,-0.05000000074505806,0.3100000023841858,105.25,-5,-92.5625,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,872664,000000000000,757,15,772,2.25,2.569999933242798,1.409999966621399,223.8125,10.8125,-80.75,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,878595,000000000000,145,160,168,-0.6299999952316284,0,0.15000000596046448,105.25,-5.25,-92.5,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,893625,000000000000,199,198,202,-0.4399999976158142,0,0.1899999976158142,105.3125,-5.625,-92.4375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,899884,000000000000,756,16,773,1.940000057220459,2.569999933242798,1.2899999618530273,220,13.5,-79.0625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,914594,000000000000,757,7,772,2.440000057220459,2.7200000286102295,1.600000023841858,217.4375,15.5625,-77.875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,917649,000000000000,246,234,222,-0.3700000047683716,-0.07000000029802322,0.07000000029802322,105.3125,-5.8125,-92.375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,930184,000000000000,760,15,774,2.140000104904175,2.609999895095825,1.2000000476837158,214.75,17.75,-76.375,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,948876,000000000000,207,198,178,-0.23999999463558197,-0.15000000596046448,-0.05000000074505806,105.375,-6.0625,-92.3125,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,962169,000000000000,174,183,168,-0.11999999731779099,-0.12999999523162842,-0.14000000059604645,105.4375,-6.4375,-92.25,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,963629,000000000000,762,0,776,1.9500000476837158,2.5999999046325684,1,210.5625,21.3125,-73.625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,986118,000000000000,174,182,170,-0.009999999776482582,-0.029999999329447746,-0.019999999552965164,105.5625,-6.625,-92.1875,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,987059,000000000000,760,15,775,1.409999966621399,1.9199999570846558,0.3199999928474426,207.8125,23.6875,-71.5625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1007043,000000000000,208,208,188,0.12999999523162842,-0.03999999910593033,-0.07999999821186066,105.6875,-6.875,-92.125,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1012129,000000000000,762,5,775,1.8799999952316284,1.7300000190734863,-0.029999999329447746,203.6875,27.1875,-68.375,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,1034894,000000000000,761,0,775,2.0399999618530273,2.059999942779541,-0.1899999976158142,200.625,29.3125,-65.875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,1047436,000000000000,160,172,161,0.1599999964237213,-0.10000000149011612,-0.07000000029802322,105.9375,-7.25,-92.0625,false,false,P110,1,M151,false,,,
